Date,AAPL,RELIANCE.NS,TCS.NS,MARUTI.NS,HDFCBANK.NS,AMZN,ICICIBANK.NS,INFY.NS
29-09-2023,0.015125628,0.008537714,0.009268674,0.011216633,0.010586517,0.018865774,0.008547843,0.009621501
03-10-2023,0.014965673,0.008416338,0.009214615,0.012308309,0.010731757,0.01909063,0.008785227,0.009573144
04-10-2023,0.015019264,0.008194233,0.00839362,0.013037318,0.011115979,0.019438432,0.00899344,0.009107162
05-10-2023,0.015009957,0.008079808,0.008581051,0.013050469,0.011157926,0.019332411,0.009220273,0.009161
06-10-2023,0.015186323,0.008108462,0.008553115,0.013091008,0.011141643,0.01960505,0.009249065,0.009292706
09-10-2023,0.014711066,0.008141268,0.008552345,0.013071529,0.011286797,0.019511816,0.008828517,0.009317584
10-10-2023,0.013893955,0.007821339,0.008542086,0.013170731,0.011343539,0.019000697,0.00919706,0.00940485
11-10-2023,0.013777256,0.008483869,0.008620333,0.013038442,0.011340869,0.019197377,0.009201405,0.009381927
12-10-2023,0.013713611,0.008358939,0.009406246,0.013205224,0.011237777,0.019210422,0.009206219,0.010110652
13-10-2023,0.013211509,0.008212543,0.009471861,0.013342313,0.011224932,0.019349013,0.009208123,0.011065888
16-10-2023,0.012657851,0.008215838,0.009845473,0.013095607,0.011178316,0.019773671,0.009063444,0.010839527
17-10-2023,0.012714538,0.008253067,0.009681178,0.012644857,0.011263783,0.019365424,0.009078377,0.010890365
18-10-2023,0.012598922,0.008542192,0.009715647,0.011286626,0.011509356,0.019846218,0.00905054,0.010841061
19-10-2023,0.012579991,0.008549866,0.009452138,0.01119651,0.011512726,0.019848322,0.009156575,0.009848309
20-10-2023,0.011166387,0.008524253,0.009657968,0.011102338,0.011261819,0.020183657,0.008964702,0.009868731
23-10-2023,0.009895795,0.008864495,0.010583152,0.011451509,0.011189253,0.019967281,0.008795688,0.010040048
25-10-2023,0.010030297,0.008699557,0.01061293,0.011435351,0.011051696,0.02111439,0.009054852,0.010311564
26-10-2023,0.010772496,0.008551822,0.010737152,0.011254682,0.011499687,0.019840718,0.008928463,0.010289783
27-10-2023,0.01056049,0.009121372,0.009194181,0.011503217,0.011516723,0.023949425,0.008579189,0.010208292
30-10-2023,0.010664979,0.009964901,0.009378789,0.011844174,0.011731247,0.02461142,0.009059012,0.010207893
31-10-2023,0.010536888,0.010075363,0.009381007,0.011840523,0.011728199,0.024630078,0.009179027,0.010115652
01-11-2023,0.011106778,0.010116484,0.00923432,0.012151642,0.011393031,0.024732628,0.00907808,0.0101481
02-11-2023,0.011326167,0.010273806,0.009427461,0.012245722,0.011033368,0.024774277,0.009230778,0.010326491
03-11-2023,0.011064872,0.009500862,0.009418672,0.011874477,0.008638647,0.023966205,0.009763722,0.010738426
06-11-2023,0.011223882,0.009562945,0.009606724,0.011823374,0.00873735,0.022422023,0.008741298,0.010826251
07-11-2023,0.011468791,0.009604682,0.009517864,0.010902577,0.008360503,0.022653347,0.008593699,0.01082895
08-11-2023,0.011445031,0.009593855,0.009513625,0.010938412,0.008383308,0.022560746,0.008821401,0.010651685
09-11-2023,0.010485567,0.009792964,0.009598987,0.011034508,0.008343339,0.021207475,0.00872146,0.010723223
10-11-2023,0.010961106,0.009553899,0.009586761,0.010791603,0.008315504,0.02142184,0.008662871,0.010676035
13-11-2023,0.011164432,0.009182572,0.009303794,0.010630417,0.008314252,0.021507039,0.008698235,0.010219967
15-11-2023,0.011479156,0.009739342,0.010259212,0.010652357,0.00855398,0.021488786,0.008601877,0.011416578
16-11-2023,0.011508834,0.009489685,0.011482403,0.009611507,0.008287497,0.021087498,0.008366141,0.012257019
17-11-2023,0.011499438,0.009493984,0.011413784,0.008726764,0.007846621,0.021049638,0.008586063,0.012239125
20-11-2023,0.011531507,0.009512153,0.011114572,0.00865391,0.007800343,0.020910419,0.008288231,0.011995359
21-11-2023,0.011391512,0.009761692,0.010975846,0.008555882,0.007974626,0.02113233,0.008297879,0.011835562
22-11-2023,0.011337991,0.009610205,0.010994922,0.008517937,0.007713104,0.021314226,0.008231757,0.01208157
24-11-2023,0.011420382,0.009594824,0.011574538,0.008222659,0.008006814,0.021309615,0.00794134,0.012078682
28-11-2023,0.011369647,0.009189475,0.0115902,0.008207787,0.007813417,0.021153701,0.007948172,0.012106591
29-11-2023,0.011433531,0.009193829,0.011364862,0.007724777,0.008557814,0.021213097,0.008474565,0.011778799
30-11-2023,0.011209556,0.009389347,0.011334208,0.007277348,0.008375539,0.020800963,0.008501038,0.010914694
01-12-2023,0.011227887,0.009451839,0.01116249,0.007277513,0.008348065,0.020555148,0.008831848,0.010926272
04-12-2023,0.011251827,0.009603676,0.0111248,0.007231354,0.010359381,0.020725045,0.012332052,0.01097444
05-12-2023,0.011596965,0.009281304,0.011108305,0.007526314,0.010020461,0.020073749,0.012696762,0.011066799
06-12-2023,0.011671743,0.009218607,0.011600629,0.007692904,0.009968153,0.020427548,0.012747113,0.011269448
07-12-2023,0.011232705,0.009194367,0.01145742,0.007763353,0.009955622,0.01976892,0.012764118,0.01129389
08-12-2023,0.011231476,0.008574815,0.010411847,0.007293095,0.009845597,0.019743214,0.012836782,0.011313327
11-12-2023,0.011327478,0.008525183,0.010309047,0.007392487,0.009720594,0.017994277,0.012400825,0.010871494
12-12-2023,0.009952414,0.008554375,0.009761556,0.007687017,0.008835007,0.017553306,0.012241391,0.010893088
13-12-2023,0.010160008,0.008092308,0.010743466,0.007313277,0.008902327,0.013237939,0.012282321,0.011282759
14-12-2023,0.010113297,0.007578775,0.01119787,0.006767327,0.00893084,0.011867392,0.012500493,0.012888012
15-12-2023,0.010207595,0.007420101,0.014388553,0.006865354,0.008754584,0.012127182,0.012213594,0.015483464
18-12-2023,0.010151631,0.007535068,0.014107112,0.006232822,0.00873857,0.011985215,0.012693383,0.015434333
19-12-2023,0.009659215,0.007732319,0.01438925,0.006277374,0.008788399,0.012008299,0.012803128,0.015458818
20-12-2023,0.009881853,0.008207742,0.014555232,0.006816003,0.008789748,0.012297522,0.012789445,0.015710082
21-12-2023,0.009675157,0.008400881,0.014533474,0.006901535,0.00914623,0.01235386,0.012678684,0.015670995
22-12-2023,0.009536181,0.00821577,0.014511453,0.007901739,0.009335016,0.011919193,0.012869832,0.015880302
26-12-2023,0.009552419,0.008214715,0.014669031,0.00786192,0.009348775,0.011858694,0.0125696,0.015963337
27-12-2023,0.00951836,0.007766343,0.014427341,0.007736166,0.009341642,0.011617859,0.012603039,0.01582608
28-12-2023,0.008634924,0.007782118,0.014403967,0.007738624,0.009362459,0.011110445,0.01260392,0.015799785
29-12-2023,0.008528879,0.008048675,0.014419236,0.007759563,0.009296134,0.011194226,0.012723974,0.016108166
02-01-2024,0.010411097,0.00768871,0.014090147,0.007881561,0.009423819,0.011532288,0.013041206,0.015598508
03-01-2024,0.010332909,0.008119379,0.014229007,0.008099476,0.010075078,0.011694527,0.012975409,0.016098722
04-01-2024,0.010552162,0.008067105,0.014316461,0.00809027,0.010100044,0.012374275,0.01257911,0.016254086
05-01-2024,0.010368354,0.007990545,0.014670742,0.008027014,0.01021219,0.012343979,0.012591188,0.016375705
08-01-2024,0.011384432,0.008059543,0.015016024,0.008082247,0.01052363,0.012925272,0.012850107,0.016451599
09-01-2024,0.011357117,0.008118101,0.014999791,0.008261567,0.010643599,0.01273814,0.012832265,0.016325834
10-01-2024,0.011362963,0.009255312,0.014415402,0.008235104,0.010476871,0.013006883,0.012971934,0.016126967
11-01-2024,0.011359319,0.010126534,0.014428495,0.008212317,0.010514189,0.013084647,0.012939221,0.016486453
12-01-2024,0.011334296,0.010142868,0.015835073,0.008102228,0.01006419,0.013064947,0.012853702,0.021744363
16-01-2024,0.011511673,0.009791218,0.015793633,0.009193558,0.010782586,0.013215703,0.012792887,0.021756144
17-01-2024,0.011437193,0.010125819,0.015788059,0.009435239,0.01918621,0.013335985,0.013741079,0.021727432
18-01-2024,0.012903806,0.010052353,0.015777167,0.009625289,0.018940232,0.013118607,0.010729791,0.021719752
19-01-2024,0.012628193,0.01006734,0.01597428,0.00961814,0.018869006,0.013057538,0.010170218,0.021641938
23-01-2024,0.013053396,0.011601406,0.016317401,0.009955494,0.019433676,0.012610588,0.01140363,0.02173329
24-01-2024,0.012945698,0.011682988,0.016365589,0.010216496,0.019906858,0.012356952,0.012620904,0.021857252
25-01-2024,0.012875402,0.011682413,0.016477938,0.010294127,0.019718864,0.012369578,0.012586964,0.021777836
29-01-2024,0.012863243,0.016887631,0.016490663,0.010538403,0.019993581,0.012644697,0.012590439,0.021854809
30-01-2024,0.013225103,0.017606465,0.016451403,0.010016596,0.019971406,0.012951079,0.012587741,0.021774881
31-01-2024,0.013192674,0.017670652,0.015876,0.010965966,0.020197935,0.013753239,0.012738569,0.021364462
01-02-2024,0.013489209,0.01764745,0.015574907,0.013672464,0.020027882,0.014307127,0.012237002,0.020552902
02-02-2024,0.013504006,0.017858414,0.013347644,0.013600131,0.020056022,0.019801338,0.012216441,0.018827397
05-02-2024,0.013612004,0.018135072,0.013344172,0.014201656,0.020053622,0.019473357,0.011883354,0.018741618
06-02-2024,0.013680442,0.018167058,0.014961839,0.015813916,0.02006008,0.019541818,0.011837769,0.019132063
07-02-2024,0.013565302,0.0179461,0.015066663,0.015522185,0.020042431,0.019372445,0.011746401,0.019378545
08-02-2024,0.013594771,0.017858873,0.01516442,0.015872128,0.019732368,0.019375338,0.013175067,0.019383673
09-02-2024,0.013597943,0.017855921,0.015127474,0.015515511,0.019753882,0.019807978,0.013638013,0.019430885
12-02-2024,0.013677743,0.017952989,0.015045949,0.015517068,0.019622755,0.020023679,0.013912947,0.019247886
13-02-2024,0.013804417,0.017972245,0.015061864,0.015561142,0.01939364,0.020548296,0.014520585,0.019114017
