Simulation,Final_Portfolio_Value
561,1.003802158
562,1.278649163
563,1.232323723
564,1.374784664
565,1.268942837
566,1.205631439
567,1.041769511
568,1.335782642
569,1.014646967
570,1.305821852
571,1.365649663
572,1.140283324
573,1.273959684
574,1.133181121
575,1.080262475
576,1.540193373
577,1.251886587
578,1.187323862
579,1.37359006
580,1.239554743
581,1.182951184
582,1.421982445
583,1.370728321
584,1.171599847
585,0.981742651
586,0.912893673
587,1.183937686
588,1.376753147
589,1.094806616
590,1.273942945
591,1.365348203
592,1.1177886
593,0.970279852
594,0.935028885
595,1.269411909
596,1.605591593
597,0.947003198
598,1.128116177
599,1.276752103
600,1.22483185
601,1.158775471
602,1.042591287
603,1.113323238
604,1.354889416
605,1.145711804
606,1.227631702
607,1.312493227
608,1.128982687
609,1.247147909
610,1.191037203
611,1.124356491
612,1.527732088
613,1.00082667
614,1.351649601
615,1.364242609
616,1.138451529
617,1.158384791
618,0.882153188
619,1.092457901
620,1.081051847
621,1.12805095
622,1.278271597
623,1.452283919
624,1.111289497
625,1.353007222
626,0.914813438
627,1.112139133
628,1.367138067
629,1.092112196
630,1.156413185
631,1.254000157
632,1.244295833
633,1.203675291
634,1.365977652
635,0.925944369
636,1.324604123
637,1.233936611
638,1.183387538
639,1.172932174
640,1.35827234
641,1.096439473
642,1.096478407
643,1.083422343
644,1.253192253
645,1.412167977
646,1.168190294
647,1.035972192
648,1.098838972
649,1.128744745
650,1.245868763
651,1.39378603
652,1.222725313
653,1.319757515
654,1.074590768
655,1.421371746
656,1.380073889
657,1.123861485
658,1.230145827
659,1.238640889
660,1.002366592
661,1.020942751
662,1.220749355
663,1.136053799
664,1.389308114
665,1.207475391
666,1.280534564
667,1.01658545
668,1.158523781
669,1.062651241
670,1.135889158
671,1.19825633
672,1.283782173
673,1.242964979
674,1.188049005
675,1.312673437
676,1.285758255
677,1.274205602
678,1.380356147
679,1.332412948
680,1.344576412
681,1.373211116
682,1.516108375
683,1.171908376
684,1.130692655
685,1.22393293
686,1.143277053
687,1.037395677
688,1.166127389
689,1.003971821
690,1.084634833
691,1.31522866
692,1.263045657
693,1.16514607
694,1.447450992
695,1.250471344
696,1.072300587
697,1.165455816
698,1.283263659
699,1.10349182
700,1.129595264
701,1.056734547
702,1.290516943
703,1.274579337
704,0.981142538
705,1.169410202
706,1.147455811
707,1.404261293
708,1.169996948
709,1.321233902
710,1.131593798
711,1.128747756
712,1.126624977
713,1.313014577
714,1.308465989
715,1.530885323
716,1.039924481
717,0.905623654
718,1.060471414
719,1.270963664
720,1.347186173
721,1.217974194
722,1.010548155
723,1.285181159
724,1.154690144
725,1.227570215
726,1.133869274
727,0.939989418
728,1.26257825
729,1.344662682
730,1.093497412
731,1.039339399
732,1.192304969
